edit_history_tweet_ids,lang,possibly_sensitive,text,created_at,reply_settings,author_id,conversation_id,id,category,edit_controls.edits_remaining,edit_controls.is_edit_eligible,edit_controls.editable_until,entities.urls,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,attachments.media_keys,context_annotations,referenced_tweets,in_reply_to_user_id,entities.annotations,entities.mentions,entities.hashtags,attachments.media_source_tweet_id,attachments.poll_ids
['1867493167265993058'],pl,False,"Podpisywałem się już kiedyś na rękach, czapkach czy torebkach, ale prośbą o podpis na czole byłem mocno zaskoczony ;) 

Bardzo dziękuję za wczorajsze spotkanie w Pionkach! Dzisiaj widzimy się w Sochaczewie i Łowiczu! https://t.co/nk0LAQHLAz",2024-12-13T08:54:02.000Z,everyone,3242182113,1867493167265993058,1867493167265993058,Original,5,True,2024-12-13 09:54:02+00:00,"[{'start': 217, 'end': 240, 'url': 'https://t.co/nk0LAQHLAz', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1867493167265993058/photo/1', 'display_url': 'pic.x.com/nk0LAQHLAz', 'media_key': '3_1867493158419869696'}, {'start': 217, 'end': 240, 'url': 'https://t.co/nk0LAQHLAz', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1867493167265993058/photo/1', 'display_url': 'pic.x.com/nk0LAQHLAz', 'media_key': '3_1867493158445056000'}, {'start': 217, 'end': 240, 'url': 'https://t.co/nk0LAQHLAz', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1867493167265993058/photo/1', 'display_url': 'pic.x.com/nk0LAQHLAz', 'media_key': '3_1867493158449246208'}, {'start': 217, 'end': 240, 'url': 'https://t.co/nk0LAQHLAz', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1867493167265993058/photo/1', 'display_url': 'pic.x.com/nk0LAQHLAz', 'media_key': '3_1867493158436704256'}]",30,75,642,0,3,35288,"['3_1867493158419869696', '3_1867493158445056000', '3_1867493158449246208', '3_1867493158436704256']",,,,,,,,
['1867282032537080075'],pl,False,Bardzo dziękuję mieszkańcom Kozienic za tak fantastyczne spotkanie! https://t.co/FZS3flrzda,2024-12-12T18:55:03.000Z,everyone,3242182113,1867282032537080075,1867282032537080075,Original,5,True,2024-12-12 19:55:03+00:00,"[{'start': 68, 'end': 91, 'url': 'https://t.co/FZS3flrzda', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1867282032537080075/photo/1', 'display_url': 'pic.x.com/FZS3flrzda', 'media_key': '3_1867282020113547264'}, {'start': 68, 'end': 91, 'url': 'https://t.co/FZS3flrzda', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1867282032537080075/photo/1', 'display_url': 'pic.x.com/FZS3flrzda', 'media_key': '3_1867282020113461248'}, {'start': 68, 'end': 91, 'url': 'https://t.co/FZS3flrzda', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1867282032537080075/photo/1', 'display_url': 'pic.x.com/FZS3flrzda', 'media_key': '3_1867282020147044352'}, {'start': 68, 'end': 91, 'url': 'https://t.co/FZS3flrzda', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1867282032537080075/photo/1', 'display_url': 'pic.x.com/FZS3flrzda', 'media_key': '3_1867282020113563648'}]",28,38,737,0,1,30917,"['3_1867282020113547264', '3_1867282020113461248', '3_1867282020147044352', '3_1867282020113563648']",,,,,,,,
['1867126227594821853'],pl,False,Żaden polski żołnierz nie powinien ginąć za Ukrainę! https://t.co/fyprgExyfG,2024-12-12T08:35:56.000Z,everyone,3242182113,1867126227594821853,1867126227594821853,Original,5,True,2024-12-12 09:35:56+00:00,"[{'start': 53, 'end': 76, 'url': 'https://t.co/fyprgExyfG', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1867126227594821853/video/1', 'display_url': 'pic.x.com/fyprgExyfG', 'media_key': '13_1867126109801721856'}]",249,261,2780,20,24,75293,['13_1867126109801721856'],,,,,,,,
['1866830625464086534'],pl,False,"Napisałem list otwarty do Prezydenta Warszawy Rafała Trzaskowskiego, wzywający go do wypowiedzenia umowy najmu lokalu, z którego korzysta Ostatnie Pokolenie. https://t.co/aWLInyuyUc",2024-12-11T13:01:19.000Z,everyone,3242182113,1866830625464086534,1866830625464086534,Original,5,True,2024-12-11 14:01:19+00:00,"[{'start': 158, 'end': 181, 'url': 'https://t.co/aWLInyuyUc', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1866830625464086534/photo/1', 'display_url': 'pic.x.com/aWLInyuyUc', 'media_key': '3_1866830621386874881'}]",693,373,9181,27,109,995938,['3_1866830621386874881'],,,,,,,,
['1866502444156612857'],pl,False,"Szpital w Toruniu zamyka Oddział Intensywnej Terapii dla Dzieci. Pacjenci do 18 roku z zagrożeniem życia będą musieli trafić do Bydgoszczy!

Nie ma pieniędzy na ratowanie życia polskim dzieciom, a stać nas na wysyłanie 800+ Ukraińcom mieszkającym na Ukrainie. Gdzie tu logika?!",2024-12-10T15:17:15.000Z,everyone,3242182113,1866502444156612857,1866502444156612857,Original,5,True,2024-12-10 16:17:15+00:00,,946,635,9551,96,154,610966,,,,,,,,,
['1866148229428949107'],pl,False,"To politycy odpowiadają za to, że wszystko drożeje! Trzeba odrzucić Zielony Ład, znieść przepisy, które sztucznie zwiększają koszty produkcji. Wtedy ceny wreszcie spadną! https://t.co/gJi9GbM5DU",2024-12-09T15:49:43.000Z,everyone,3242182113,1866148229428949107,1866148229428949107,Original,5,True,2024-12-09 16:49:43+00:00,"[{'start': 171, 'end': 194, 'url': 'https://t.co/gJi9GbM5DU', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1866148229428949107/video/1', 'display_url': 'pic.x.com/gJi9GbM5DU', 'media_key': '13_1866148120930689024'}]",208,207,2385,9,47,80644,['13_1866148120930689024'],,,,,,,,
['1866083218367090956'],pl,False,"Podopieczni Trzaskowskiego znowu zablokowali dzisiaj Warszawę. 

Ostatnie Pokolenie należy zdelegalizować, a nie udostępniać im lokal w centrum Warszawy!",2024-12-09T11:31:24.000Z,everyone,3242182113,1866083218367090956,1866083218367090956,Original,5,True,2024-12-09 12:31:24+00:00,,357,280,6285,8,20,179572,,,,,,,,,
['1866041417014861996'],pl,False,"Po wygranej Trzaskowskiego masło będzie kosztować 5 zł, tak jak benzyna 5,19 zł po wygranej Tuska.

Podatki, opłaty, regulacje, przepisy, Zielony Ład i dyrektywy unijne prowadzą do wzrostu cen. 

Tusk z Trzaskowskim odpowiadają za te ceny już teraz. To wina ich działań.",2024-12-09T08:45:17.000Z,everyone,3242182113,1866041417014861996,1866041417014861996,Original,5,True,2024-12-09 09:45:17+00:00,,470,495,7095,16,29,171809,,,,,,,,,
['1864968781954429331'],pl,False,"Bardzo dziękuję mieszkańcom Piaseczna za obecność na wczorajszym spotkaniu!

Wierzę, że razem zbudujemy silną, dumną, bogatą i bezpieczną Polskę! https://t.co/I0AoRZdEKU",2024-12-06T09:43:01.000Z,everyone,3242182113,1864968781954429331,1864968781954429331,Original,5,True,2024-12-06 10:43:01+00:00,"[{'start': 146, 'end': 169, 'url': 'https://t.co/I0AoRZdEKU', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1864968781954429331/photo/1', 'display_url': 'pic.x.com/I0AoRZdEKU', 'media_key': '3_1864968775872708608'}, {'start': 146, 'end': 169, 'url': 'https://t.co/I0AoRZdEKU', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1864968781954429331/photo/1', 'display_url': 'pic.x.com/I0AoRZdEKU', 'media_key': '3_1864968775876894720'}, {'start': 146, 'end': 169, 'url': 'https://t.co/I0AoRZdEKU', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1864968781954429331/photo/1', 'display_url': 'pic.x.com/I0AoRZdEKU', 'media_key': '3_1864968775872753664'}, {'start': 146, 'end': 169, 'url': 'https://t.co/I0AoRZdEKU', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1864968781954429331/photo/1', 'display_url': 'pic.x.com/I0AoRZdEKU', 'media_key': '3_1864968775876874241'}]",36,59,788,2,2,33002,"['3_1864968775872708608', '3_1864968775876894720', '3_1864968775872753664', '3_1864968775876874241']",,,,,,,,
['1864564444883194117'],pl,False,Za chwilę będę gościem @BogRymanowski w Radiu Zet! Zapraszam! https://t.co/OtCKgQapRO,2024-12-05T06:56:20.000Z,everyone,3242182113,1864564444883194117,1864564444883194117,Original,5,True,2024-12-05 07:56:20+00:00,"[{'start': 62, 'end': 85, 'url': 'https://t.co/OtCKgQapRO', 'expanded_url': 'https://x.com/SlawomirMentzen/status/1864564444883194117/photo/1', 'display_url': 'pic.x.com/OtCKgQapRO', 'media_key': '3_1864564439124414464'}]",13,91,892,2,6,47118,['3_1864564439124414464'],,,,,"[{'start': 23, 'end': 37, 'username': 'BogRymanowski', 'id': '1801985936579796992'}]",,,
